Trial,SOA,Target,Response,Accuracy,randomGator
19,150,br,tr,0,Araripesuchus_wegeneri
20,0,br,br,1,Araripesuchus_wegeneri
21,90,tr,br,0,Araripesuchus_wegeneri
22,180,bl,tr,0,Araripesuchus_wegeneri
23,0,bl,br,0,Araripesuchus_wegeneri
24,180,tr,tr,1,Araripesuchus_wegeneri
25,120,tr,bl,0,Araripesuchus_wegeneri
26,0,tr,tl,0,Araripesuchus_wegeneri
27,150,tr,br,0,Araripesuchus_wegeneri
28,90,bl,tr,0,Araripesuchus_wegeneri
29,60,br,bl,0,Araripesuchus_wegeneri
30,150,tl,tl,1,Araripesuchus_wegeneri
31,150,tr,tl,0,Araripesuchus_wegeneri
32,30,tl,br,0,Araripesuchus_wegeneri
33,60,tl,br,0,Araripesuchus_wegeneri
34,180,tr,bl,0,Araripesuchus_wegeneri
35,0,bl,bl,1,Araripesuchus_wegeneri
36,180,tl,tr,0,Araripesuchus_wegeneri
37,90,tr,tl,0,Araripesuchus_wegeneri
38,180,br,br,1,Araripesuchus_wegeneri
39,180,br,tl,0,Araripesuchus_wegeneri
40,0,tr,bl,0,Araripesuchus_wegeneri
41,0,tr,tl,0,Araripesuchus_wegeneri
42,60,bl,br,0,Araripesuchus_wegeneri
43,150,bl,bl,1,Araripesuchus_wegeneri
44,120,br,tr,0,Araripesuchus_wegeneri
45,30,tr,br,0,Araripesuchus_wegeneri
46,90,tr,bl,0,Araripesuchus_wegeneri
47,60,tr,tr,1,Araripesuchus_wegeneri
48,150,br,tr,0,Araripesuchus_wegeneri
49,60,bl,br,0,Araripesuchus_wegeneri
50,120,tr,bl,0,Araripesuchus_wegeneri
51,180,bl,tl,0,Araripesuchus_wegeneri
52,30,bl,bl,1,Araripesuchus_wegeneri
53,180,br,tr,0,Araripesuchus_wegeneri
54,90,br,tl,0,Araripesuchus_wegeneri
55,150,tr,br,0,Araripesuchus_wegeneri
56,30,tr,tl,0,Araripesuchus_wegeneri
57,180,bl,tr,0,Araripesuchus_wegeneri
58,180,bl,br,0,Araripesuchus_wegeneri
59,180,tr,bl,0,Araripesuchus_wegeneri
60,180,br,tl,0,Araripesuchus_wegeneri
61,0,br,bl,0,Araripesuchus_wegeneri
62,150,br,bl,0,Araripesuchus_wegeneri
63,150,tr,tr,1,Araripesuchus_wegeneri
64,180,tr,tl,0,Araripesuchus_wegeneri
65,0,br,bl,0,Araripesuchus_wegeneri
66,0,tr,tl,0,Araripesuchus_wegeneri
67,150,tl,br,0,Araripesuchus_wegeneri
68,0,bl,bl,1,Araripesuchus_wegeneri
69,120,br,tr,0,Araripesuchus_wegeneri
70,30,tl,tl,1,Araripesuchus_wegeneri
71,180,tr,bl,0,Araripesuchus_wegeneri
72,90,tl,tl,1,Araripesuchus_wegeneri
73,90,tr,tr,1,Araripesuchus_wegeneri
74,150,tl,br,0,Araripesuchus_wegeneri
75,30,br,tl,0,Araripesuchus_wegeneri
76,0,bl,bl,1,Araripesuchus_wegeneri
77,30,bl,tr,0,Araripesuchus_wegeneri
78,150,br,bl,0,Araripesuchus_wegeneri
79,180,tr,bl,0,Araripesuchus_wegeneri
80,180,br,tl,0,Araripesuchus_wegeneri
81,120,bl,tr,0,Araripesuchus_wegeneri
82,60,br,br,1,Araripesuchus_wegeneri
83,0,tr,br,0,Araripesuchus_wegeneri
84,120,bl,tr,0,Araripesuchus_wegeneri
85,90,bl,bl,1,Araripesuchus_wegeneri
86,90,tl,tl,1,Araripesuchus_wegeneri
87,120,br,br,1,Araripesuchus_wegeneri
88,30,tl,br,0,Araripesuchus_wegeneri
89,60,tr,tr,1,Araripesuchus_wegeneri
90,30,br,tr,0,Araripesuchus_wegeneri
